Group,User Story
Qwen/Qwen3-0.6B,"As a venue manager, I want to view a dashboard of team progress, so that I can monitor deadlines.  "
Qwen/Qwen3-0.6B,"As a project manager, I want to view a dashboard of team progress, so that I can monitor deadlines.  "
Qwen/Qwen3-0.6B,"As a student, I want to download lecture slides, so that I can study offline.  "
Qwen/Qwen3-0.6B,"As a software specialist, I want to integrate all soundwave stages into a single system, so that I can communicate more effectively.  "
Qwen/Qwen3-0.6B,"As a technical staff member, I want to access detailed technical specifications of the venue, so that I can ensure all requirements are met."
Qwen/Qwen3-1.7B,"As a venue manager, I want to centralize communication so that information is shared effectively, so that I can monitor deadlines and track events  "
Qwen/Qwen3-1.7B,"As a venue manager, I want to manage multiple events simultaneously, so that I can ensure each event is handled properly  "
Qwen/Qwen3-1.7B,"As an artist, I want to submit the writer through the system, so that the venue can track my requirements and ensure they are met  "
Qwen/Qwen3-1.7B,"As a technical staff member, I want to update the rider with changes, so that the venue manager can adjust the event details accordingly  "
Qwen/Qwen3-1.7B,"As a venue manager, I want to receive notifications about changes in the system, so that I can address issues promptly  "
Qwen/Qwen3-1.7B,"As a technical staff member, I want to be notified of equipment failures, so that I can fix issues before they affect the event  "
Qwen/Qwen3-1.7B,"As a venue manager, I want to ensure all events are scheduled and tracked, so that I can avoid overlaps and manage resources effectively  "
Qwen/Qwen3-1.7B,"As a technical staff member, I want to access technical specifications, so that I can coordinate with the venue for event setup  "
Qwen/Qwen3-1.7B,"As a venue manager, I want to receive alerts for equipment breakdowns, so that I can quickly resolve issues during events  "
Qwen/Qwen3-1.7B,"As an artist, I want to submit a writer with specific details, so that the venue can prepare for my performance  "
Qwen/Qwen3-1.7B,"As a venue manager, I want to approve changes to the rider, so that the artist can adjust their requirements  "
Qwen/Qwen3-1.7B,"As a technical staff member, I want to access lighting and audio specifications, so that I can coordinate with the venue  "
Qwen/Qwen3-1.7B,"As a venue manager, I want to ensure all event details are accurate, so that the artist can prepare properly  "
Qwen/Qwen3-1.7B,"As a technical staff member, I want to be notified of changes in the rider, so that I can update the event details  "
Qwen/Qwen3-1.7B,"As a venue manager, I want to track event availability, so that I can confirm dates and times for performances  "
